course_id,course_name,department,course_category,eligible_grades,periods_required,occupies_school_period,schedule_structure,capacity_override,max_sections_override,demand_tier,protected_core,known_capacity_risk,source_type,confidence,notes
INTRO_BUSINESS,Introduction to Business,Business,normal_academic,9;10;11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
MARKETING,Marketing,Business,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
WOOD_TECH1,Wood Tech 1,CTE Practical Arts,niche,9;10;11;12,1,True,standard,,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
WOOD_TECH2,Wood Tech 2,CTE Practical Arts,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
AUTO_TECH,Auto Technology,CTE Practical Arts,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
CULINARY_ARTS1,Culinary Arts I,CTE Practical Arts,niche,9;10;11;12,1,True,standard,,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
INTRO_ENGINEERING,Introduction to Engineering,Engineering,niche,9;10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
CAD_FABRICATION,CAD / Fabrication,Engineering,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
CREATIVE_WRITING,Creative Writing,English,niche,9;10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
MARINE_BIOLOGY,Marine Biology,Science,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
PHYSICS_UNIVERSE,Physics: Of the Universe,Science,normal_academic,10;11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
AP_CHEM,AP Chemistry,Science,most_ap,11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
AP_PHYSICS1,AP Physics 1,Science,most_ap,10;11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
INTRO_BIOTECH,Introduction to Biotechnology,Science,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
ANATOMY_PHYSIOLOGY,Anatomy / Physiology,Science,normal_academic,11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
AP_BIO,AP Biology,Science,most_ap,11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
AP_ENVIRONMENTAL_SCIENCE,AP Environmental Science,Science,most_ap,11;12,1,True,standard,,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
AP_PHYSICS2,AP Physics 2,Science,most_ap,11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
FILM_SOCIETY,Film and Society,Social Science,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
SOCIAL_JUSTICE,Social Justice,Social Science,niche,10;11;12,1,True,standard,,,niche,False,False,student_provided_form,medium,Demand weight is a model assumption.
AP_PSYCHOLOGY,AP Psychology,Social Science,most_ap,11;12,1,True,standard,,,popular,False,False,student_provided_form,medium,Demand weight is a model assumption.
SOCIOLOGY,Sociology,Social Science,niche,11;12,1,True,standard,,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
ROCK_N_ROLL_HISTORY,Socio-Political History of Rock-N-Roll,Social Science,niche,11;12,1,True,standard,,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
PERSONAL_FITNESS,Personal Fitness,Physical Education,pe,9;10;11;12,1,True,standard,50,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
WEIGHT_TRAINING,Weight Training,Physical Education,pe,9;10;11;12,1,True,standard,50,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
SOCCER,Soccer,Physical Education,pe,9;10;11;12,1,True,standard,50,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
SURF,Surf,Physical Education,pe,9;10;11;12,1,True,standard,50,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
PE_DANCE,Dance,Physical Education,pe,9;10;11;12,1,True,standard,50,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
FOOTBALL,Football,Physical Education,pe,9;10;11;12,1,True,standard,50,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
BASKETBALL,Basketball,Physical Education,pe,9;10;11;12,1,True,standard,50,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
PEP_SQUAD,Pep Squad,Physical Education,pe,9;10;11;12,1,True,standard,50,,niche,False,False,student_provided_form,low,Demand weight is a model assumption.
TEAM_SPORTS,Team Sports,Physical Education,pe,9;10;11;12,1,True,standard,50,,mainstream,False,False,student_provided_form,medium,Demand weight is a model assumption.
